age,salary,experience
22,211579,9
51,137738,19
23,482242,17
39,256965,10
28,339670,1
33,474051,17
50,448981,6
26,292100,14
23,228967,10
33,318384,17
46,393152,11
20,440364,5
37,104270,19
53,276901,12
36,29097,19
43,151467,15
20,157313,17
36,376036,9
37,168768,7
49,256726,17
24,342624,0
58,56163,7
50,29816,5
57,453056,4
56,243619,14
35,324997,14
57,165989,1
18,106731,0
28,162638,10
45,216524,9
42,72823,17
40,161878,17
48,216592,16
47,11759,7
59,267164,14
52,445165,7
24,364518,16
33,143554,11
43,296586,7
19,436935,13
18,461282,3
29,103501,0
22,274223,0
54,405933,18
49,69676,15
26,431168,13
58,227516,15
52,183532,4
36,100397,8
33,82847,1
20,103607,17
37,230178,5
41,159521,8
50,436752,0
41,74077,8
28,310402,15
25,189374,12
53,267009,8
55,432081,12
57,147717,8
37,391915,10
52,48000,3
42,36737,1
52,283629,5
42,310709,13
46,428738,3
35,391758,5
63,337299,18
35,196240,5
19,62487,1
52,402092,17
33,284486,12
58,312950,8
53,320914,18
50,88623,12
21,375321,10
50,403170,0
31,347773,6
38,393137,14
37,193675,0
25,399088,11
24,223046,6
20,115947,14
34,298543,18
50,138177,0
29,226454,16
39,484460,16
39,119575,2
63,383048,11
47,217606,5
55,458322,10
55,302822,2
62,86218,7
25,73230,13
44,255756,13
44,346199,9
51,459589,1
38,172552,13
47,488446,8
50,472052,2
45,344402,7
64,49986,15
50,165232,1
22,357739,5
36,111358,11
21,482327,4
52,337073,1
34,83506,15
61,44911,4
45,359271,14
47,435037,11
46,216111,3
63,463751,14
23,385597,10
52,94458,15
58,22175,5
54,391379,13
41,326915,17
46,399301,11
63,131300,10
48,96925,12
52,254446,10
50,76358,15
38,420543,14
49,57057,14
40,278294,3
50,276569,10
20,264726,18
35,288176,14
42,12198,3
59,463716,12
48,194466,18
20,423295,1
57,177292,13
63,445090,3
41,154931,15
49,453676,19
64,172491,13
39,391009,14
40,411921,2
19,446096,7
44,270910,15
59,33236,9
19,97955,3
43,226586,17
34,113145,1
57,156430,16
50,240785,12
26,104914,3
60,375014,10
56,217990,6
46,388387,11
59,24596,9
43,436788,6
52,481973,12
42,142351,6
41,204269,16
30,383640,9
24,402417,9
53,465732,3
62,148155,19
37,130674,3
18,392451,6
25,267529,0
63,250469,11
33,420987,12
31,433191,9
29,448864,14
40,266713,12
32,451501,8
45,29063,8
51,77642,14
19,100093,9
49,227215,9
40,440815,7
39,192992,15
42,169601,16
39,45954,4
39,37856,3
59,12573,17
23,481560,18
32,45367,3
60,247804,6
54,371752,9
50,332918,17
25,33752,18
61,327173,3
61,158757,9
22,402426,0
56,323837,17
21,126739,4
23,328105,14
62,248009,16
49,266028,2
47,217980,11
64,266609,1
52,398822,0
57,346676,16
33,354138,15
30,328277,4
59,333412,14
47,495417,2
36,441459,6
34,198456,10
36,41653,9
45,167729,8
43,443168,13
54,425396,12
43,238504,1
40,131829,2
26,138377,6
29,481627,17
18,11622,2
18,58756,9
64,50809,6
51,26725,8
49,202468,16
42,61226,10
57,91182,6
62,485781,13
18,39402,18
33,14263,3
56,237595,5
22,187900,9
39,57924,6
46,346326,12
20,234137,13
29,462268,3
43,414880,7
33,307881,4
54,373476,0
39,361707,3
46,170445,2
31,177469,8
45,400719,7
22,489361,0
64,111371,5
47,48709,8
63,202192,6
22,160322,3
29,31172,12
33,21555,16
43,490626,1
43,481833,4
38,63276,11
56,67492,7
53,194074,5
50,266010,7
47,361743,17
54,475571,2
40,232320,11
27,427978,2
22,21046,5
53,238071,1
51,388165,11
48,431985,1
27,194374,5
36,426366,16
49,471463,2
18,276997,1
22,497829,19
62,130900,7
21,492615,11
33,425008,3
41,69129,4
33,247091,12
19,215550,14
45,254883,15
49,124130,9
44,470514,15
37,435203,11
41,156922,16
29,415328,15
52,131789,11
50,165130,7
50,186492,19
60,48890,2
54,76017,15
29,188376,12
20,173993,18
18,142596,7
50,110424,4
57,287192,19
27,438327,7
60,178976,11
61,327056,0
46,44008,19
30,403276,5
29,215738,17
48,93559,7
63,65337,6
19,382760,0
52,285494,15
40,34354,11
34,55186,5
43,38145,19
25,437236,1
46,96123,13
43,216258,3
27,226541,0
43,30581,17
51,98929,12
58,295195,1
24,61474,8
21,101748,1
62,135995,8
28,255690,0
46,341770,10
53,279104,2
42,438988,19
38,424736,3
53,190553,17
27,46408,5
54,366150,2
26,269568,10
41,329278,14
52,161563,4
52,142413,19
53,185695,9
35,100327,11
56,403554,14
49,212503,16
41,153326,9
40,192932,5
49,21344,17
54,404966,12
29,457972,2
30,77957,9
40,115423,13
42,330197,5
52,474071,2
58,156968,15
47,196833,6
34,203624,19
37,261147,13
42,87454,8
39,267594,14
30,362744,2
36,394876,1
53,431151,1
29,47641,2
58,39711,17
36,342486,13
29,379040,19
26,153254,17
24,97833,9
45,328420,1
31,291685,0
48,366601,3
36,485526,13
64,54813,0
33,178270,13
22,149892,15
52,296214,13
29,472984,19
42,414338,2
38,352703,2
53,214615,8
40,486657,5
33,51786,12
56,236006,1
62,240876,7
59,409953,1
56,308206,3
31,457453,14
48,323715,3
22,297654,12
52,291570,11
40,47265,12
46,421066,13
60,259321,19
28,76150,17
35,97312,5
64,99613,10
29,347054,1
26,324519,18
27,131826,18
61,45435,4
34,368587,18
55,460348,1
24,220017,9
63,485266,1
30,498618,10
57,144055,17
59,161734,14
26,295654,8
44,219259,18
19,182070,8
22,460062,2
46,104071,8
54,278784,13
55,316691,18
36,326764,6
25,156389,15
62,125608,15
18,279708,0
39,168417,3
34,123824,3
24,497439,6
42,264444,7
62,89273,16
21,347003,4
53,221837,6
23,120017,19
48,477254,19
36,133618,3
61,455609,5
56,469297,6
44,135341,17
27,301574,4
43,216604,19
36,37788,2
56,236577,6
20,451759,13
62,417135,6
30,341490,4
45,368266,4
37,49974,1
45,379453,5
25,26371,14
58,317228,9
56,432845,6
18,192256,4
20,334060,0
30,83972,12
45,203259,17
42,285128,12
50,305183,17
55,95431,4
23,355835,12
61,330750,3
62,413832,16
49,374809,2
62,115373,16
64,191144,10
38,296718,19
33,406646,3
38,260195,1
28,153748,19
54,414032,15
53,42733,17
52,226752,7
36,12050,2
37,119996,8
35,43933,19
64,34951,5
58,42413,9
31,175873,9
32,196691,12
48,436129,16
18,384717,8
20,443816,16
33,198847,8
40,231888,8
28,271044,0
29,231165,1
27,253662,15
49,176472,0
33,407710,9
25,221760,17
55,132744,7
29,361575,10
41,215763,1
45,53001,7
25,77364,7
45,397132,16
53,317172,14
43,248506,16
25,238731,12
45,440789,18
45,141878,4
54,396487,11
58,197710,0
53,138301,4
44,398439,7
34,170829,12
26,44636,7
50,221169,10
37,189352,0
30,296406,12
45,352579,18
46,203283,2
30,458058,16
63,400727,4
52,460195,19
23,255596,7
35,484686,13
22,441413,3
64,313988,10
42,336898,19
19,437373,14
27,349273,18
47,312186,6
62,71665,18
22,256584,18
50,126953,10
18,486072,4
35,168448,4
49,196626,7
64,155271,9
28,128533,5
38,484628,14
43,454164,15
42,83781,16
39,475966,7
44,76262,7
30,318744,8
50,86898,1
51,465699,14
58,159369,17
52,40448,2
18,298316,16
38,446090,3
23,17657,3
45,487602,13
34,266689,8
22,428641,8
48,429901,17
22,384999,9
55,427794,3
20,169903,11
40,17906,7
54,333557,1
54,64028,12
27,279431,15
27,305804,1
36,478974,10
34,332648,9
38,200792,14
31,112979,16
26,44701,7
63,93300,17
18,251249,8
62,158746,7
30,93560,13
21,252615,17
18,427090,19
57,53642,19
49,337304,11
51,289746,18
45,375464,13
48,98801,16
25,298075,2
56,104377,6
43,301336,16
51,318686,11
20,399159,8
29,314664,14
18,336916,17
61,461978,12
22,322250,7
47,91121,13
47,35559,7
34,377739,13
64,43742,6
40,341813,11
32,483415,10
54,162826,10
38,145044,12
31,342975,17
19,122217,1
28,51873,14
56,497877,19
55,378676,17
51,398411,14
55,413119,18
51,144092,11
35,313899,12
47,358100,10
32,96988,4
44,55648,0
51,135991,2
55,412732,18
50,387149,6
41,12396,11
32,94082,14
47,422345,4
59,138322,14
34,142663,7
22,21303,9
46,171633,15
21,343863,7
27,259690,0
34,495324,11
27,269820,4
34,109616,2
37,396309,0
41,96231,3
22,279458,7
51,29623,2
23,208747,9
19,468298,1
30,486840,10
60,115228,9
60,436346,13
28,192828,6
64,369768,1
40,167364,8
33,383929,15
48,358350,12
28,79274,8
33,143541,19
25,63947,3
21,163606,9
57,204692,11
21,58874,16
42,59708,13
20,84553,13
49,78344,1
20,321282,19
44,195374,10
46,57638,15
49,88249,18
36,378009,5
38,12719,18
22,163962,4
35,480452,3
45,439725,14
59,52534,3
39,102241,19
38,422003,9
23,136209,2
18,452061,4
22,199004,5
58,102124,7
29,101659,6
43,174134,9
63,85713,5
51,228335,13
31,498972,3
43,463677,12
62,85418,19
44,469888,16
26,138232,6
43,438048,3
64,173038,13
39,475761,2
64,416203,4
47,178383,15
60,303719,19
34,335996,3
43,268722,1
53,142079,17
18,212053,18
25,86242,18
52,188589,16
32,39257,13
64,490488,18
39,445423,12
31,154353,11
43,333390,5
45,273579,3
40,239947,18
31,241758,15
41,101357,12
19,167732,3
62,408300,16
43,485413,0
31,416723,17
24,213667,19
20,93807,16
64,448755,14
40,388097,10
63,148563,12
60,268778,0
64,191264,16
62,483611,5
35,395941,3
55,336032,19
52,83609,15
32,281221,14
42,258512,14
54,263973,5
45,293097,14
27,480135,13
56,386826,10
34,340033,6
56,164893,8
39,440783,15
43,125374,4
61,34860,19
42,162267,9
34,87475,17
30,494090,2
37,359410,12
42,162499,10
21,372876,16
27,299227,12
20,228118,5
58,329516,16
62,133786,12
35,447280,18
64,17813,18
53,41598,9
64,267951,2
39,103106,13
51,299226,18
64,301385,4
25,237286,4
57,447785,19
61,21745,16
36,298173,9
59,154097,4
58,242732,3
54,395539,5
23,155360,3
43,99186,6
51,409756,6
62,369912,17
23,223030,2
54,209950,0
50,51846,3
39,348076,5
38,158554,8
23,295555,13
23,454191,11
21,463761,19
47,350941,3
28,324451,11
47,406309,9
48,480474,6
41,294186,2
26,62930,13
20,258656,9
48,447629,15
57,254459,15
54,234695,9
53,370027,12
41,305900,5
48,63268,11
23,442430,8
19,222943,12
37,268916,3
45,431818,10
28,194403,19
21,58901,17
32,372130,10
23,204488,3
47,173268,17
55,400530,0
19,277770,6
32,148496,5
28,285001,14
25,251531,17
43,256693,10
62,423198,19
61,480177,14
22,405196,15
23,189362,6
43,36431,9
21,357120,11
36,248360,13
37,354855,4
50,36385,17
37,441374,4
29,426235,2
64,290783,4
18,95530,16
43,240983,18
31,293707,18
55,442557,11
54,387816,8
28,408992,0
53,439660,17
30,472132,3
60,411927,9
20,215390,6
50,355114,0
23,253373,16
27,357697,1
22,171779,10
40,180182,8
27,202860,6
61,92879,16
19,442043,16
