age,salary,experience
41,264205,13
51,309188,4
44,198221,5
58,178616,9
18,59976,7
25,435468,13
40,275976,2
55,231883,11
23,221509,15
39,306292,16
42,464456,0
35,249241,9
34,229526,9
29,384374,1
23,357220,8
43,480332,12
44,456675,15
25,310546,17
36,198799,18
59,48578,11
18,100453,7
46,425534,16
62,347859,14
52,218859,9
57,121435,14
31,226101,14
52,161538,6
62,367886,12
37,55475,16
30,332286,8
55,226232,7
63,167636,19
25,163484,17
60,103526,12
37,61001,15
50,329793,8
43,202029,11
56,438733,11
38,154228,5
59,426280,18
60,35711,6
58,40106,2
26,337602,15
41,419805,17
54,492488,15
58,402573,6
34,227583,3
41,373898,7
38,148286,12
56,237189,12
58,488947,16
56,136479,16
30,430343,4
28,146213,5
63,38884,18
36,493637,12
28,274852,13
30,290519,3
63,25088,6
62,329759,7
18,382282,12
57,186118,5
61,282158,5
36,205497,2
29,406489,2
25,188207,12
25,374986,1
62,434097,15
29,88077,5
50,149784,7
62,215776,7
43,325018,5
56,79087,13
45,284441,2
22,250341,9
25,299272,2
42,78368,11
44,497235,16
63,490815,4
40,229571,19
47,351102,8
62,305064,19
64,261514,6
40,414372,3
64,152180,12
37,435061,12
35,406016,9
35,269904,17
19,445928,16
21,405826,19
47,87603,19
50,43872,12
53,282872,16
35,367246,3
54,498535,0
36,394193,0
64,292727,14
45,95774,12
57,410479,16
37,398518,7
50,208522,17
29,230357,12
32,422672,13
58,363262,7
56,75942,7
19,23689,14
46,436150,12
58,43276,6
27,111968,4
19,423089,16
28,285194,15
30,76216,1
27,225516,17
31,356184,16
35,31644,6
26,72021,12
56,178197,17
45,470115,13
20,52291,17
37,438276,12
23,404754,10
44,439392,15
19,313664,16
46,35675,7
55,159359,18
20,272318,19
33,102268,14
47,307142,8
57,194384,19
19,415328,9
34,115410,11
58,347369,19
29,316958,0
52,357235,19
60,322863,8
18,139887,14
62,306063,0
32,345299,11
43,343713,2
54,313472,10
38,211554,1
48,296762,15
42,44675,8
40,291063,14
41,276317,11
55,381513,0
45,298544,12
38,191517,13
60,80305,7
35,178636,7
53,449030,11
52,482963,0
62,98791,10
26,169034,7
55,488108,9
47,489058,18
61,80533,10
51,197256,6
49,486128,10
20,375735,16
20,151650,0
45,141060,7
61,159696,5
32,311338,17
58,382047,5
40,403605,4
57,371447,12
28,252188,18
49,386047,7
53,339535,8
50,247501,16
41,417010,2
56,330146,18
51,307675,10
45,193887,16
54,14986,18
24,304442,1
21,273625,7
54,328552,18
18,210339,6
18,131950,16
64,420051,5
37,135355,18
36,37798,5
46,101649,1
27,337031,5
35,29477,4
45,420482,18
52,227400,19
60,227060,3
64,399959,16
48,446742,10
44,399570,3
28,415105,12
55,296479,19
22,414470,16
25,358754,8
51,283586,3
29,318433,13
55,325891,18
18,309471,2
48,419415,13
21,344971,7
62,116464,0
22,141184,9
47,97051,17
41,160653,15
20,255300,7
28,69722,0
62,102036,11
21,238634,7
43,157595,15
44,339104,17
63,258709,3
60,291696,5
44,151880,11
59,245419,8
23,475741,14
32,164692,15
47,273031,11
59,303946,13
54,95024,12
54,498765,1
59,255809,2
54,128639,9
52,390392,8
40,91938,19
23,227813,7
21,262100,9
35,394890,18
26,298193,2
46,349933,4
30,94526,2
64,411062,15
34,493779,16
62,56220,14
49,318307,2
39,406981,11
21,389270,8
22,353630,11
54,448486,14
58,85277,1
30,491494,17
51,493455,19
62,376389,11
39,132332,3
40,244231,15
20,32931,15
59,99116,0
51,261671,1
49,327777,2
62,483918,19
38,61913,16
63,260216,19
61,104776,0
38,35991,19
61,195917,5
28,114092,14
56,239577,13
21,196384,19
18,413777,14
45,420117,13
41,247113,4
52,105556,5
30,335019,16
64,166989,10
51,334264,15
28,405204,11
53,382185,14
34,138467,3
52,417472,17
35,390634,2
57,228800,7
39,136155,2
41,300374,7
36,69778,17
54,55833,9
56,294769,19
38,42088,16
25,220722,7
45,444383,10
22,376081,4
34,474507,12
54,206375,4
53,86361,12
36,360373,5
44,145189,4
51,100265,8
28,107718,15
62,332854,1
64,497642,0
29,104876,7
38,470270,18
28,40949,10
56,425763,11
45,222954,11
22,340280,6
34,121541,12
37,205691,7
58,71842,8
63,498019,6
29,242930,14
23,299134,1
34,157265,19
36,302253,11
43,140356,0
61,422449,7
61,254629,4
49,222802,14
23,400277,0
53,175582,0
55,273450,9
28,13849,9
50,22360,14
41,383216,16
40,263279,5
32,104767,2
44,271445,12
28,186872,15
34,440179,7
31,64330,14
44,61707,16
35,290833,16
45,39084,12
64,50387,16
64,346960,5
21,12642,16
24,314281,15
62,483048,13
52,196633,12
26,334404,5
25,156510,2
62,320586,13
34,375205,13
34,406210,14
50,264511,7
49,397988,14
25,371719,12
36,273957,16
55,365171,2
20,395633,5
22,94381,4
30,259880,16
64,327420,1
63,313387,14
48,203984,4
33,70272,19
49,183123,5
39,482070,5
46,223808,17
39,263091,17
60,337762,3
20,274064,16
27,116121,13
59,480435,13
38,86872,12
33,353276,6
29,274237,11
19,285049,14
58,131759,18
41,427567,10
52,303125,14
47,346047,11
47,342965,2
64,381344,16
52,92289,2
36,126506,18
25,487237,19
43,88513,3
57,423090,2
24,192003,15
47,410890,11
24,322660,7
20,269480,16
18,272043,6
53,497790,10
42,201758,17
54,498067,0
18,341356,2
32,143498,3
54,264024,12
30,140970,5
57,100009,13
25,209570,4
22,433159,15
26,207467,14
18,54816,14
53,14138,3
52,101176,7
19,348089,15
57,276161,15
40,282595,3
26,204028,12
51,366007,12
63,282422,1
31,231552,2
21,53764,7
47,133030,14
48,404350,10
55,335087,8
28,105667,6
52,326462,12
25,375567,1
20,376142,7
31,70128,6
30,229128,11
62,294013,18
49,243540,6
51,15039,9
62,162353,15
36,122935,2
55,20442,9
33,345932,5
19,391873,17
57,299730,17
34,63053,4
51,191561,6
59,224176,1
33,96346,10
55,339231,12
19,415841,4
19,44397,5
43,330815,13
30,126214,11
64,495001,3
48,339041,5
51,167221,9
56,463246,17
20,473122,14
25,408499,7
40,410826,8
31,446542,4
44,287068,9
46,123143,19
56,382397,5
56,479378,15
18,372441,2
34,273013,9
58,369232,10
47,273158,10
30,20103,16
38,485738,3
36,382461,3
36,499223,16
42,436674,8
39,493821,18
48,92409,4
34,33248,5
40,492376,2
49,184588,0
27,432277,19
27,165242,15
53,18024,10
25,485430,12
37,244864,9
49,358091,2
31,184875,8
45,422512,11
63,363973,13
41,364852,0
32,358808,17
39,421473,16
47,153927,8
21,95178,8
30,373265,9
40,292169,18
25,407674,14
35,73610,4
29,80843,14
48,117237,19
31,487177,1
51,190903,12
35,184499,15
51,497025,14
28,140299,9
58,441722,13
29,15668,9
32,232542,13
48,188267,8
46,345377,13
43,165489,2
35,354126,19
49,116133,15
39,282895,1
55,318362,9
34,398793,2
40,279496,10
41,220124,10
25,98835,12
58,107493,6
23,301071,16
22,182166,1
61,111948,11
46,195194,9
45,39493,17
28,495463,10
18,476755,15
60,303851,16
36,209886,18
26,148368,17
44,166470,2
51,307986,15
61,23261,5
21,86709,11
53,105985,10
35,378760,14
32,459920,14
30,339317,15
36,303925,9
23,285796,11
29,277247,12
54,297644,3
34,256404,6
40,110336,1
43,438745,14
46,123499,7
50,159524,6
44,321537,14
42,434390,13
27,467666,7
64,176508,11
40,319550,12
38,335203,10
38,157026,16
60,354866,16
30,260819,3
54,22356,7
50,138128,4
41,12187,15
61,349387,3
28,307242,14
34,495687,11
21,162297,4
64,144678,15
42,329764,13
47,436044,9
26,136270,6
38,429705,12
37,286531,19
36,341607,4
36,475048,2
29,499196,14
54,252998,3
59,405807,14
34,251503,13
54,451732,19
56,363827,18
45,72061,12
58,245497,9
52,469952,4
64,91257,19
35,71753,19
31,356918,5
52,414303,3
61,434032,1
58,33408,15
24,134116,17
58,141208,4
30,27413,3
35,123650,12
54,69500,18
30,356658,1
53,66358,12
48,76197,10
19,233861,3
33,233492,19
26,271545,19
26,436070,14
55,86240,3
28,245595,8
39,231135,6
50,288466,18
53,385197,18
62,16968,5
40,299662,5
62,324069,19
62,200920,14
51,384044,14
26,365566,19
41,273844,8
25,365926,3
24,242076,17
53,33199,17
35,447805,4
20,173187,19
45,465150,10
23,195388,4
61,15520,3
61,119814,11
38,177527,1
45,256356,12
57,489681,9
18,133364,8
53,444821,9
38,24955,6
60,185121,3
52,154989,18
30,473509,9
27,481797,2
61,260144,18
64,74925,1
27,379360,19
63,80269,9
30,434170,1
54,499887,1
55,475833,16
41,313602,15
19,361181,15
39,162185,13
34,109977,6
53,493442,10
31,316083,0
27,39345,10
52,265688,3
42,449529,6
20,382251,14
64,394010,17
55,495581,11
34,271798,16
29,341310,0
41,188933,10
46,107406,0
60,321442,14
42,450437,9
53,317086,6
43,13453,1
55,112811,9
18,64935,3
37,394583,11
45,184442,18
33,280472,10
64,25534,7
34,357424,17
57,488141,10
45,46320,10
29,59170,12
44,110546,2
59,90201,11
64,244473,2
47,280784,9
58,241324,16
51,494273,1
54,171121,16
23,408834,15
24,243612,1
49,197125,19
49,405136,5
42,316081,9
50,210796,9
24,153279,7
29,206846,0
33,174044,12
33,414015,8
60,212160,9
53,432132,14
30,80463,4
24,103500,15
53,217772,12
64,47158,19
26,94607,17
49,391783,10
28,255017,8
25,343840,15
50,333654,1
40,130076,1
42,68692,11
25,140841,7
62,202816,8
39,287954,11
21,408342,8
57,171081,9
20,121718,1
